Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta
ADANIENT.NS,2023-06-05,0.0,0.44,2433.95,2514.0,2428.0,2633.7,1785.35,4165.3,1193.5,Bullish,0.009391525127176528,4.543452733732071
AMBUJACEM.NS,2023-06-05,0.0,0.38,439.05,441.65,437.05,439.05,375.75,587.75,329.9,Bullish,0.001951635732532665,2.02451633039625
AXISBANK.NS,2023-06-05,0.0,0.31,950.85,953.9,927.6,950.85,854.05,962.3,716.45,Bullish,0.002751129489608982,0.7653668363992264
BEL.NS,2023-06-05,0.0,0.38,115.65,118.65,113.35,115.65,103.5,115.65,88.95,Bullish,0.0031206375104151246,0.6669221825744981
DABUR.NS,2023-06-05,0.0,0.38,552.25,563.0,551.55,557.2,503.65,604.4,505.0,Bullish,0.0021220085139700834,1.135872481911576
EICHERMOT.NS,2023-06-05,0.0,0.38,3673.25,3717.5,3665.1,3716.05,3321.0,3850.45,2852.4,Bullish,0.00387556930010161,0.5311884470880546
HCLTECH.NS,2023-06-05,0.0,0.31,1138.3,1148.5,1136.0,1145.1,1048.3,1149.6,906.7,Bullish,0.0015598434913164257,1.1306625204945555
HDFCAMC.NS,2023-06-05,0.0,0.31,1963.1,1977.75,1953.0,1964.9,1740.0,2295.35,1672.85,Bullish,0.0017123793262612068,2.048155588410707
HINDUNILVR.NS,2023-06-05,0.0,0.5,2695.8,2722.0,2684.15,2716.7,2450.0,2722.25,2406.1,Bullish,0.0028950384458493236,0.6896540726111917
ICICIGI.NS,2023-06-05,0.0,0.25,1226.25,1243.2,1220.55,1232.9,1066.3,1277.0,1059.6,Bullish,0.0038077814148700577,1.9196896813103617
INDIGO.NS,2023-06-05,0.0,0.31,2402.75,2418.5,2376.0,2402.75,2022.0,2402.75,1710.4,Bullish,0.0038011569190869415,0.6132781403011407
LICI.NS,2023-06-05,0.0,0.25,596.6,602.0,595.95,605.2,549.1,739.95,531.85,Bullish,0.002948500847909472,0.5834083832642366
M&M.NS,2023-06-05,0.0,0.38,1395.4,1401.0,1346.35,1395.4,1208.05,1395.4,1128.3,Bullish,0.004093083834996871,1.7341385416086867
MARUTI.NS,2023-06-05,0.0,0.38,9582.1,9640.0,9488.55,9582.1,8606.0,9582.1,8141.6,Bullish,0.0018215900811551964,0.7457858881401224
SBICARD.NS,2023-06-05,0.0,0.38,919.8,925.0,912.15,919.8,752.3,919.8,699.35,Bullish,0.00536693768617241,0.6361633205688089
TATAMOTORS.NS,2023-06-05,0.0,0.31,546.25,548.8,537.9,546.25,474.55,546.25,378.35,Bullish,0.002638435552888026,1.5069636887592
TATAPOWER.NS,2023-06-05,0.0,0.44,219.05,219.4,216.15,219.05,199.4,231.35,183.95,Bullish,0.0025587987048450228,1.2359038145795975
TECHM.NS,2023-06-05,0.0,0.25,1109.35,1134.55,1107.5,1123.1,1020.4,1144.2,986.15,Bullish,0.001873958046954162,1.040376699412148
MCDOWELL-N.NS,2023-06-05,0.0,0.5,876.15,882.0,866.5,883.5,771.3,941.85,735.65,Bullish,0.004203985746715022,0.9855162161066645
VBL.NS,2023-06-05,0.0,0.69,1705.1,1713.0,1688.4,1705.1,1400.0,1705.1,990.95,Bullish,0.0060489390569275405,0.6861112801806594
WIPRO.NS,2023-06-05,0.0,0.31,404.2,409.75,403.7,407.15,379.0,413.7,356.2,Bullish,0.0018465688029698291,0.9760748124975989
