Bucket,Symbol,Date,Action,Price,Shares,TradeValue,Taxes
Niftysmallcap100,BDL.ns,2023-06-21 10:55:16.863445,Buy,1221.449951171875,2.0,2442.89990234375,1.3393486976788087
Niftysmallcap100,CESC.ns,2023-06-21 10:55:21.250941,Buy,72.94999694824219,41.0,2990.9498748779297,1.6398235621103483
Niftysmallcap100,CREDITACC.ns,2023-06-21 10:55:24.277655,Buy,1290.800048828125,2.0,2581.60009765625,1.4153927164211917
Niftysmallcap100,FACT.ns,2023-06-21 10:55:26.296579,Buy,428.5,7.0,2999.5,1.6445112691
Niftysmallcap100,GRAPHITE.ns,2023-06-21 10:55:28.389013,Buy,419.0,7.0,2933.0,1.6080518593999995
Niftysmallcap100,HUDCO.ns,2023-06-21 10:55:29.753359,Buy,61.25,48.0,2940.0,1.6118896919999997
Niftysmallcap100,MAZDOCK.ns,2023-06-21 10:55:40.199833,Buy,1312.800048828125,2.0,2625.60009765625,1.4395162356211917
Niftysmallcap100,RITES.ns,2023-06-21 10:55:48.542168,Buy,393.0,7.0,2751.0,1.5082682118
Niftysmallcap100,RVNL.ns,2023-06-21 10:55:49.169152,Buy,124.5500030517578,24.0,2989.2000732421875,1.6388642127158932
Niftysmallcap100,ROUTE.ns,2023-06-21 10:55:51.006526,Buy,1634.8499755859375,1.0,1634.8499755859375,0.896325790344702
Niftysmallcap100,TEJASNET.ns,2023-06-21 10:55:53.551930,Buy,747.0999755859375,4.0,2988.39990234375,1.6384255095788085
Niftysmallcap100,BSE.ns,2023-06-21 10:57:57.359873,Buy,576.2999877929688,5.0,2881.499938964844,1.5798163432367556
Niftysmallcap100,CREDITACC.ns,2023-06-21 10:58:05.182781,Sell,1294.550048828125,2.0,2589.10009765625,1.031139665272754
Niftysmallcap100,INDIAMART.ns,2023-06-21 10:58:14.757133,Buy,2989.449951171875,1.0,2989.449951171875,1.639001211239404
Niftysmallcap100,MANAPPURAM.ns,2023-06-21 11:17:04.165038,Buy,127.9000015258789,23.0,2941.700035095215,1.6128217563013654
Niftysmallcap100,PPLPHARMA.ns,2023-06-21 11:17:10.942424,Buy,95.0500030517578,31.0,2946.550094604492,1.615480858658029
Niftysmallcap100,CREDITACC.ns,2023-06-21 11:28:35.429243,Buy,1292.8499755859375,2.0,2585.699951171875,1.4176405094894042
Niftysmallcap100,EXIDEIND.ns,2023-06-21 11:28:37.311590,Buy,226.8000030517578,13.0,2948.400039672852,1.6164951128711087
Niftysmallcap100,MEDANTA.ns,2023-06-21 11:31:19.456733,Buy,654.1500244140625,4.0,2616.60009765625,1.4345818794211915
Niftysmallcap100,NLCINDIA.ns,2023-06-21 11:31:33.183400,Buy,101.25,29.0,2936.25,1.60983371025
Niftysmallcap100,MEDANTA.ns,2023-06-21 11:33:56.283260,Sell,659.5999755859375,4.0,2638.39990234375,1.050773894227246
Niftysmallcap100,MCX.ns,2023-06-21 11:58:49.772358,Buy,1601.449951171875,1.0,1601.449951171875,0.8780138328394043
Niftysmallcap100,VTL.ns,2023-06-21 11:59:02.259971,Buy,364.3999938964844,8.0,2915.199951171875,1.5982927725894038
Niftysmallcap100,ROUTE.ns,2023-06-21 12:01:36.635241,Sell,1613.300048828125,1.0,1613.300048828125,0.6425157813863769
Niftysmallcap100,VTL.ns,2023-06-21 12:37:22.246022,Sell,370.25,8.0,2962.0,1.1796514515999998
Niftysmallcap100,CREDITACC.ns,2023-06-21 12:47:19.972386,Sell,1316.949951171875,2.0,2633.89990234375,1.048981716127246
Niftysmallcap100,RITES.ns,2023-06-21 12:55:37.562406,Sell,389.5,7.0,2726.5,1.0858607977
Niftysmallcap100,IDFC.ns,2023-06-21 13:25:14.882513,Buy,103.6999969482422,28.0,2903.599914550781,1.5919329156314572
Niftysmallcap100,MANAPPURAM.ns,2023-06-21 13:29:00.725877,Sell,126.5999984741211,23.0,2911.799964904785,1.1596586952629164
Niftysmallcap100,GRAPHITE.ns,2023-06-21 13:32:30.143827,Sell,425.9500122070313,7.0,2981.6500854492188,1.1874773300011598
Niftysmallcap100,JSL.ns,2023-06-21 13:36:12.553412,Buy,342.8999938964844,8.0,2743.199951171875,1.5039917429894043
Niftysmallcap100,BIRLACORPN.ns,2023-06-21 14:07:49.291114,Buy,1242.050048828125,2.0,2484.10009765625,1.3619371909211913
Niftysmallcap100,MEDANTA.ns,2023-06-21 14:07:56.667804,Buy,659.4500122070312,4.0,2637.800048828125,1.4462050028105955
Niftysmallcap100,TANLA.ns,2023-06-21 14:08:18.300023,Buy,1054.4000244140625,2.0,2108.800048828125,1.1561745106105956
Niftysmallcap100,MCX.ns,2023-06-21 14:11:44.574798,Sell,1624.300048828125,1.0,1624.300048828125,0.646896661186377
Niftysmallcap100,TEJASNET.ns,2023-06-21 14:11:54.907171,Sell,761.5999755859375,4.0,3046.39990234375,1.213264708627246
Niftysmallcap100,CREDITACC.ns,2023-06-21 14:15:05.388987,Buy,1319.449951171875,2.0,2638.89990234375,1.4468080104788084
Niftysmallcap100,FACT.ns,2023-06-21 14:15:07.513992,Sell,421.6000061035156,7.0,2951.2000427246094,1.1753502411755798
Niftysmallcap100,JSL.ns,2023-06-21 14:15:14.844025,Sell,336.95001220703125,8.0,2695.60009765625,1.0735545469727537
Niftysmallcap100,MAZDOCK.ns,2023-06-21 14:15:20.566371,Sell,1291.199951171875,2.0,2582.39990234375,1.028471233427246
Niftysmallcap100,BSE.ns,2023-06-21 14:22:14.051419,Sell,572.9500122070312,5.0,2864.750061035156,1.1409205158579712
Niftysmallcap100,BDL.ns,2023-06-21 14:22:14.648189,Sell,1187.6500244140625,2.0,2375.300048828125,0.9459912729863768
Niftysmallcap100,INDIACEM.ns,2023-06-21 14:26:01.977489,Buy,227.8000030517578,13.0,2961.400039672852,1.6236225162711089
Niftysmallcap100,NLCINDIA.ns,2023-06-21 14:26:09.890390,Sell,100.0500030517578,29.0,2901.450088500977,1.1555367348565582
Niftysmallcap100,BIRLACORPN.ns,2023-06-21 14:29:23.760802,Sell,1257.0,2.0,2514.0,1.0012301652
Niftysmallcap100,HUDCO.ns,2023-06-21 14:33:10.593466,Sell,60.54999923706055,48.0,2906.3999633789062,1.1575080809352172
Niftysmallcap100,PPLPHARMA.ns,2023-06-21 14:36:59.908728,Sell,94.5999984741211,31.0,2932.599952697754,1.1679425358413222
Niftysmallcap100,VTL.ns,2023-06-21 14:37:08.092162,Buy,371.3999938964844,8.0,2971.199951171875,1.628995433389404
Niftysmallcap100,KEI.ns,2023-06-21 14:49:33.642430,Buy,2250.35009765625,1.0,2250.35009765625,1.233780995171191
Niftysmallcap100,BIRLACORPN.ns,2023-06-21 14:56:30.994473,Buy,1246.25,2.0,2492.5,1.3665425365
Niftysmallcap100,INDIACEM.ns,2023-06-21 15:13:09.127348,Sell,230.6000061035156,13.0,2997.800079345703,1.1939092556403623
Niftysmallcap100,MEDANTA.ns,2023-06-23 09:15:19.311709,Sell,645.0999755859375,4.0,2580.39990234375,1.0276747098272458
Niftysmallcap100,INDIAMART.ns,2023-06-23 09:15:23.213013,Sell,2915.0,1.0,2915.0,1.160933147
Niftysmallcap100,TANLA.ns,2023-06-23 09:15:40.695007,Sell,1011.0499877929688,2.0,2022.0999755859373,0.8053251760568115
Niftysmallcap100,VTL.ns,2023-06-23 09:15:42.695000,Sell,360.0,8.0,2880.0,1.146993984
Niftysmallcap100,IDFC.ns,2023-06-23 09:15:44.823440,Sell,100.25,28.0,2807.0,1.1179208726
Niftysmallcap100,BIRLACORPN.ns,2023-06-23 09:18:51.236728,Sell,1210.449951171875,2.0,2420.89990234375,0.964151952727246
Niftysmallcap100,EXIDEIND.ns,2023-06-23 09:19:24.089343,Sell,227.8999938964844,13.0,2962.699920654297,1.1799302032596373
Niftysmallcap100,CESC.ns,2023-06-23 09:22:35.844204,Sell,72.4000015258789,41.0,2968.400062561035,1.1822003520356703
Niftysmallcap100,RVNL.ns,2023-06-23 09:34:21.762176,Sell,121.8000030517578,24.0,2923.2000732421875,1.1641989229295655
Niftysmallcap100,KEI.ns,2023-06-23 09:37:44.400482,Sell,2349.050048828125,1.0,2349.050048828125,0.935536900736377
Niftysmallcap100,CREDITACC.ns,2023-06-23 11:07:53.516314,Sell,1328.3499755859375,2.0,2656.699951171875,1.058062104613623
Niftysmallcap100,KALYANKJIL.ns,2023-06-23 13:10:24.866937,Buy,125.69999694824219,23.0,2891.0999298095703,1.5850796514972687
